gene	TCGA-DD-A1EC-01A	TCGA-DD-A113-01A	TCGA-CC-5263-01A	TCGA-DD-A3A4-01A	TCGA-5R-AA1D-01A	TCGA-DD-A4NA-01A	TCGA-DD-A1EH-01A	TCGA-DD-AAVY-01A	TCGA-ZP-A9D2-01A	TCGA-CC-5260-01A	TCGA-MI-A75H-01A	TCGA-DD-A4NF-01A	TCGA-DD-A1EF-01A	TCGA-DD-AACW-01A	TCGA-ED-A8O5-01A	TCGA-DD-A1EA-01A	TCGA-G3-AAV5-01A	TCGA-5R-AA1C-01A	TCGA-BC-A10Q-01A	TCGA-DD-AAVS-01A
TNS3	0.759397860437002	0.843760529612741	-0.697807018745839	-2.34337979447502	-0.427685725758315	0.560919273524815	0.181177668660186	1.09051878780361	-0.839175513426105	0.0135640966648449	-0.810007229997302	1.9446917797845	-0.642344064255783	0.159781131563193	0.395712241547647	1.65292983526026	-0.983132615799381	-0.0468591638451748	-0.0555235061843708	-0.756538572371508
SULT1B1	0.78431463391926	-0.391264578019063	0.0840590299402999	0.659486972383677	0.427127230978518	-1.61874435596074	-0.11057290970023	0.556001947762731	-0.474695344475784	0.587639585128124	0.99154087198793	1.48317218144864	-0.657797331927898	-1.66947638546292	-0.0377908907386576	1.48703952338538	0.268933070125544	0.669214329091157	-1.93382322137994	-1.10436435848604
RNF169	-0.174050017666499	0.391450505490029	0.9197479950878	-1.26683632077509	-0.11492457482487	1.04351873461993	1.29762084288099	-0.442919786005042	0.234320940920097	1.1599008468437	-1.8376979699094	-0.516105589135177	1.17930426082885	-1.06058585335617	0.507807667422675	0.980484801100457	-1.9608891207177	-0.674968322895287	0.519695656234794	-0.184874696144105
PCDHGA2	0.834106631060372	-0.258104351824892	0.782563281577042	-3.16888923131436	0.260154511749204	1.37727740476689	0.450148280850983	-0.505848345841231	-0.106472829347748	0.801236368911904	-0.913173136468563	0.0106674715426602	-0.741760255645141	0.472285097721536	-0.0949903871388826	0.617825852716811	-1.11313550240858	0.000894074508608578	1.11189381123154	0.183321253351848
ARHGEF10	-0.217245794412624	-0.0189632541849083	-0.995253114858241	-0.249731447876822	1.5803519142283	1.33695588639426	-0.146660477238019	-0.701278654325988	-0.144791291086596	1.86728935350153	0.0114010462632369	-0.0688039584367828	0.17492080074926	-1.04594147469903	-0.0685240272786533	-0.231336512367123	-1.32931930853053	-1.50065626206326	2.06957679326928	-0.321990217047271
KLF4	-0.474812961723861	-0.277834217285388	2.02949387827861	-0.630773827323884	1.6074697001225	1.65240425869344	-0.133304473872177	0.390469503448425	-0.579137475162457	0.344886734240075	-0.877765113915082	-0.169567452297494	-0.47656481161405	-1.57756997552432	-0.667494033056311	0.625847673500781	-0.367177565366146	-0.784568275647815	1.42235670920844	-1.05635827470328
OLR1	0.0349017599921513	-0.431314806512111	0.434355311103406	-3.46787232141829	-0.306882568607524	0.81764061772182	0.00955016060221081	0.032867202416765	0.473429517594565	0.915658595816705	1.23008841393299	-0.464851747002427	0.0866463110594016	0.173086250904417	-0.764932634719007	1.16972421982952	-0.72121610186822	0.339330498481365	0.619546683985925	-0.179755363313665
GBA3	0.347325818899407	0.310188103967552	-1.19840408323219	-1.30935562721909	-0.237860074487715	0.0782012298270033	-0.908095802358211	0.932565998760982	-0.0992094710232153	0.106162170461376	0.973160161952117	1.09928189519174	0.877526586689032	1.18080539536205	-1.39637009524262	-1.94260837974638	1.27990294955063	0.616360575349452	-1.23264007106835	0.523062718366439
SYNC	-0.0895203203212979	0.526528789492623	-0.16207994699563	-0.991088917318302	1.93257736796642	-0.775005269040873	0.0592529268258581	-0.785695413082926	1.48389861286055	0.364780956956569	-0.192653799307453	-0.349272129754576	0.220582624979357	-0.902704538495236	-0.407455231701263	-0.242207419523988	-1.11446152652576	2.55038709704896	-1.19034051861837	0.0644766545553464
MAB21L1	-1.30122875025389	-1.30122875025389	0.737796986009094	0.972315170265705	1.21762408100682	0.521056190905103	0.601992932651634	-1.30122875025389	0.632038077406733	0.927296886029695	-1.30122875025389	0.518897089015038	0.754041046377519	0.830992134070885	0.70323531526995	-1.30122875025389	-1.30122875025389	-1.30122875025389	0.446035766998054	0.245279575771009
