ID	Herb	Dosage	Unit
71933.1	生姜		
71933.1	桂枝		
71933.1	甘草		
71933.1	附子		
71933.1	大枣		
71509.1	黄连		
71509.1	甘草		
71509.1	大枣		
71509.1	黄芩		
71509.1	半夏		
71509.1	干姜		
71509.1	人参		
70695.1	生姜		
70695.1	柴胡		
70695.1	甘草		
70695.1	大枣		
70695.1	黄芩		
70695.1	半夏		
70695.1	芒硝		
70695.1	人参		
71326.1	文蛤		
71648.1	甘草		
71648.1	大枣		
71648.1	黄芩		
71648.1	芍药		
71528.1	黄连		
71528.1	甘草		
71528.1	大枣		
71528.1	黄芩		
71528.1	半夏		
71528.1	干姜		
71528.1	人参		
70309.1	栀子		
70309.1	厚朴		
70309.1	枳实		
69644.1	干姜		
69644.1	附子		
68722.1	麻黄		
68722.1	桂枝		
68722.1	甘草		
68722.1	杏仁		
68586.1	麻黄		
68586.1	生姜		
68586.1	桂枝		
68586.1	葛根		
68586.1	甘草		
68586.1	大枣		
68586.1	芍药		
73674.1	水蛭		
73674.1	虻虫		
73674.1	桃仁		
73674.1	大黄		
71151.1	大黄		
71151.1	芒硝		
71151.1	甘遂		
71331.1	猪苓		
71331.1	白术		
71331.1	泽泻		
71331.1	桂枝		
71331.1	茯苓		
69863.1	生姜		
69863.1	半夏		
69863.1	厚朴		
69863.1	甘草		
69863.1	人参		
68611.1	麻黄		
68611.1	桂枝		
68611.1	甘草		
68611.1	杏仁		
71333.1	巴豆		
71333.1	川贝母		
71333.1	桔梗		
70873.1	葶苈子		
70873.1	大黄		
70873.1	杏仁		
70873.1	芒硝		
71639.1	生姜		
71639.1	甘草		
71639.1	大枣		
71639.1	旋覆花		
71639.1	半夏		
71639.1	代赭石		
71639.1	人参		
71942.1	甘草		
71942.1	石膏		
71942.1	知母		
71942.1	粳米		
71519.1	猪苓		
71519.1	白术		
71519.1	泽泻		
71519.1	桂枝		
71519.1	茯苓		
70593.1	生姜		
70593.1	柴胡		
70593.1	甘草		
70593.1	大枣		
70593.1	黄芩		
70593.1	半夏		
70593.1	人参		
70316.1	甘草		
70316.1	干姜		
70316.1	附子		
69845.1	甘草		
69845.1	桂枝		
68726.1	麻黄		
68726.1	生姜		
68726.1	桂枝		
68726.1	甘草		
68726.1	大枣		
68726.1	石膏		
68726.1	杏仁		
70166.1	猪苓		
70166.1	白术		
70166.1	泽泻		
70166.1	桂枝		
70166.1	茯苓		
73655.1	甘遂		
73655.1	大黄		
73655.1	芒硝		
70313.1	白术		
70313.1	芍药		
70313.1	生姜		
70313.1	附子		
70313.1	茯苓		
70693.1	生姜		
70693.1	柴胡		
70693.1	大枣		
70693.1	黄芩		
70693.1	芍药		
70693.1	半夏		
70693.1	大黄		
70693.1	枳实		
70589.1	生姜		
70589.1	柴胡		
70589.1	甘草		
70589.1	大枣		
70589.1	黄芩		
70589.1	半夏		
70589.1	人参		
70600.1	生姜		
70600.1	桂枝		
70600.1	甘草		
70600.1	大枣		
70600.1	芍药		
70600.1	饴糖		
70849.1	生姜		
70849.1	桂枝		
70849.1	柴胡		
70849.1	龙骨		
70849.1	大枣		
70849.1	黄芩		
70849.1	半夏		
70849.1	茯苓		
70849.1	牡蛎		
70849.1	大黄		
70849.1	人参		
70849.1	铅丹		
64541.1	大枣	12	
64541.1	杏仁	50	
64541.1	甘草	3	
64541.1	厚朴	2	
64541.1	芍药	3	
64541.1	桂枝	3	
64541.1	生姜	3	
64377.1	大枣	12	
64377.1	芍药	3	
64377.1	甘草	2	
64377.1	桂枝	3	
64377.1	附子	1	
64377.1	生姜	3	
70868.1	桃仁		
70868.1	大黄		
70868.1	水蛭		
70868.1	虻虫		
70310.1	栀子		
70310.1	干姜		
73442.1	瓜蒂		
73442.1	赤小豆		
71359.1	瓜蒌		
71359.1	甘草		
71359.1	桂枝		
71359.1	柴胡		
71359.1	黄芩		
71359.1	牡蛎		
71359.1	干姜		
70584.1	大黄		
70584.1	甘草		
70584.1	芒硝		
65862.1	知母		
65862.1	粳米		
65862.1	人参		
65862.1	石膏		
65862.1	甘草		
68581.1	麻黄		
68581.1	生姜		
68581.1	桂枝		
68581.1	葛根		
68581.1	甘草		
68581.1	大枣		
68581.1	芍药		
70159.1	猪苓		
70159.1	白术		
70159.1	泽泻		
70159.1	桂枝		
70159.1	茯苓		
70696.1	甘草		
70696.1	芒硝		
70696.1	大黄		
71934.1	白术		
71934.1	生姜		
71934.1	甘草		
71934.1	附子		
71934.1	大枣		
69295.1	厚朴		
69295.1	甘草		
69295.1	芒硝		
69295.1	大黄		
69295.1	枳实		
71500.1	生姜		
71500.1	柴胡		
71500.1	甘草		
71500.1	大枣		
71500.1	黄芩		
71500.1	半夏		
71500.1	人参		
71500.1	大黄		
71500.1	芒硝		
69640.1	生姜		
69640.1	桂枝		
69640.1	甘草		
69640.1	大枣		
69640.1	芍药		
70848.1	桂枝		
70848.1	甘草		
70848.1	桃仁		
70848.1	大黄		
70848.1	芒硝		
70304.1	淡豆豉		
70304.1	甘草		
70304.1	栀子		
69898.1	芍药		
69898.1	甘草		
69898.1	附子		
65859.1	甘草		
65859.1	芍药		
71503.1	生姜		
71503.1	柴胡		
71503.1	甘草		
71503.1	大枣		
71503.1	黄芩		
71503.1	半夏		
71503.1	人参		
65855.1	麻黄		
65855.1	生姜		
65855.1	桂枝		
65855.1	甘草		
65855.1	大枣		
65855.1	芍药		
65855.1	杏仁		
69307.1	生姜		
